Identifiant arc,Libelle,Date et heure de comptage,Debit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Libelle noeud amont,Identifiant noeud aval,Libelle noeud aval,Etat arc,Date debut dispo data,Date fin dispo data,geo_point_2d,Unnamed: 14
6532,Tolbiac,2023-11-06T06:00:00+01:00,28.0,0.24611,Fluide,2626,Alesia-Sante-Glaciere-Tolbiac,3386,Tolbiac-Wurtz,Invalide,37708.0,44927.0,48.8262465326126,2.34283196501946
6532,Tolbiac,2023-11-06T08:00:00+01:00,153.0,2.36,Fluide,2626,Alesia-Sante-Glaciere-Tolbiac,3386,Tolbiac-Wurtz,Invalide,37708.0,44927.0,48.8262465326126,2.34283196501946
6532,Tolbiac,2023-11-06T03:00:00+01:00,16.0,0.08389,Fluide,2626,Alesia-Sante-Glaciere-Tolbiac,3386,Tolbiac-Wurtz,Invalide,37708.0,44927.0,48.8262465326126,2.34283196501946
6532,Tolbiac,2023-11-06T07:00:00+01:00,61.0,0.84444,Fluide,2626,Alesia-Sante-Glaciere-Tolbiac,3386,Tolbiac-Wurtz,Invalide,37708.0,44927.0,48.8262465326126,2.34283196501946
6532,Tolbiac,2023-11-06T01:00:00+01:00,53.0,0.64278,Fluide,2626,Alesia-Sante-Glaciere-Tolbiac,3386,Tolbiac-Wurtz,Invalide,37708.0,44927.0,48.8262465326126,2.34283196501946
6532,Tolbiac,2023-11-06T05:00:00+01:00,21.0,0.21167,Fluide,2626,Alesia-Sante-Glaciere-Tolbiac,3386,Tolbiac-Wurtz,Invalide,37708.0,44927.0,48.8262465326126,2.34283196501946
6997,Bd_Poniatowski,2023-09-07T22:00:00+02:00,553.0,4.61667,Fluide,3627,Poniatowski-Baron-Leroy,565,Bd_Poniatowski-Pte_Charenton,Invalide,42628.0,44927.0,48.8312014843489,2.39669356571775
6532,Tolbiac,2023-11-06T04:00:00+01:00,10.0,0.14833,Fluide,2626,Alesia-Sante-Glaciere-Tolbiac,3386,Tolbiac-Wurtz,Invalide,37708.0,44927.0,48.8262465326126,2.34283196501946
6997,Bd_Poniatowski,2023-09-07T21:00:00+02:00,539.0,4.10278,Fluide,3627,Poniatowski-Baron-Leroy,565,Bd_Poniatowski-Pte_Charenton,Invalide,42628.0,44927.0,48.8312014843489,2.39669356571775
6532,Tolbiac,2023-11-06T02:00:00+01:00,32.0,0.30389,Fluide,2626,Alesia-Sante-Glaciere-Tolbiac,3386,Tolbiac-Wurtz,Invalide,37708.0,44927.0,48.8262465326126,2.34283196501946
6997,Bd_Poniatowski,2023-09-07T19:00:00+02:00,596.0,4.45333,Fluide,3627,Poniatowski-Baron-Leroy,565,Bd_Poniatowski-Pte_Charenton,Invalide,42628.0,44927.0,48.8312014843489,2.39669356571775
6997,Bd_Poniatowski,2023-09-07T16:00:00+02:00,557.0,4.21111,Fluide,3627,Poniatowski-Baron-Leroy,565,Bd_Poniatowski-Pte_Charenton,Invalide,42628.0,44927.0,48.8312014843489,2.39669356571775
6717,Bd_Mortier,2023-07-18T19:00:00+02:00,168.0,3.18833,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
6717,Bd_Mortier,2023-07-18T17:00:00+02:00,134.0,2.59444,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
6670,Aubervilliers,2023-08-10T00:00:00+02:00,400.0,3.76667,Fluide,3457,Aubervilliers-face_191,926,Aubervilliers-Crimee,Invalide,39883.0,44927.0,48.8961171586239,2.37088614829351
6670,Aubervilliers,2023-08-09T21:00:00+02:00,595.0,12.76834,Fluide,3457,Aubervilliers-face_191,926,Aubervilliers-Crimee,Invalide,39883.0,44927.0,48.8961171586239,2.37088614829351
6542,St_Martin,2023-11-06T07:00:00+01:00,364.0,3.27611,Fluide,317,St_Martin-Ste_Apolline,3392,St_Martin-ND_Nazareth,Invalide,38112.0,44927.0,48.8682846593019,2.35516291120302
6670,Aubervilliers,2023-08-09T20:00:00+02:00,733.0,36.77833,Satur�,3457,Aubervilliers-face_191,926,Aubervilliers-Crimee,Invalide,39883.0,44927.0,48.8961171586239,2.37088614829351
6542,St_Martin,2023-11-06T08:00:00+01:00,590.0,5.13444,Fluide,317,St_Martin-Ste_Apolline,3392,St_Martin-ND_Nazareth,Invalide,38112.0,44927.0,48.8682846593019,2.35516291120302
6542,St_Martin,2023-11-06T06:00:00+01:00,186.0,0.81556,Fluide,317,St_Martin-Ste_Apolline,3392,St_Martin-ND_Nazareth,Invalide,38112.0,44927.0,48.8682846593019,2.35516291120302
6670,Aubervilliers,2023-08-09T18:00:00+02:00,678.0,18.37556,Pr�-satur�,3457,Aubervilliers-face_191,926,Aubervilliers-Crimee,Invalide,39883.0,44927.0,48.8961171586239,2.37088614829351
6542,St_Martin,2023-11-06T02:00:00+01:00,161.0,0.66778,Fluide,317,St_Martin-Ste_Apolline,3392,St_Martin-ND_Nazareth,Invalide,38112.0,44927.0,48.8682846593019,2.35516291120302
6542,St_Martin,2023-11-06T05:00:00+01:00,100.0,0.51556,Fluide,317,St_Martin-Ste_Apolline,3392,St_Martin-ND_Nazareth,Invalide,38112.0,44927.0,48.8682846593019,2.35516291120302
6542,St_Martin,2023-11-06T01:00:00+01:00,227.0,0.98834,Fluide,317,St_Martin-Ste_Apolline,3392,St_Martin-ND_Nazareth,Invalide,38112.0,44927.0,48.8682846593019,2.35516291120302
6542,St_Martin,2023-11-06T04:00:00+01:00,89.0,0.305,Fluide,317,St_Martin-Ste_Apolline,3392,St_Martin-ND_Nazareth,Invalide,38112.0,44927.0,48.8682846593019,2.35516291120302
6543,St_Martin,2023-11-06T08:00:00+01:00,590.0,6.32556,Fluide,3392,St_Martin-ND_Nazareth,318,Reaumur-St_Martin,Invalide,38112.0,44927.0,48.8669254454983,2.35435370036991
6542,St_Martin,2023-11-06T03:00:00+01:00,115.0,0.41778,Fluide,317,St_Martin-Ste_Apolline,3392,St_Martin-ND_Nazareth,Invalide,38112.0,44927.0,48.8682846593019,2.35516291120302
6543,St_Martin,2023-11-06T07:00:00+01:00,364.0,3.16,Fluide,3392,St_Martin-ND_Nazareth,318,Reaumur-St_Martin,Invalide,38112.0,44927.0,48.8669254454983,2.35435370036991
6543,St_Martin,2023-11-06T06:00:00+01:00,186.0,1.42111,Fluide,3392,St_Martin-ND_Nazareth,318,Reaumur-St_Martin,Invalide,38112.0,44927.0,48.8669254454983,2.35435370036991
6543,St_Martin,2023-11-06T03:00:00+01:00,115.0,0.71556,Fluide,3392,St_Martin-ND_Nazareth,318,Reaumur-St_Martin,Invalide,38112.0,44927.0,48.8669254454983,2.35435370036991
6543,St_Martin,2023-11-06T05:00:00+01:00,100.0,0.90667,Fluide,3392,St_Martin-ND_Nazareth,318,Reaumur-St_Martin,Invalide,38112.0,44927.0,48.8669254454983,2.35435370036991
