iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type
4898,Av_Jean_Jaures,2023-03-09T18:00:00+00:00,382.0,13.77334,Fluide,2580,Jaures-Hainant,806,Av_J_Jaures-Eugene_Jumin,Invalide,2005-01-01,2019-06-01,2.3900068353904986,48.88792955572938,Feature,"[[2.3892869728649964, 48.88774116766288], [2.3907266979160013, 48.888117943795876]]",LineString
4898,Av_Jean_Jaures,2023-03-09T17:00:00+00:00,560.0,14.06056,Fluide,2580,Jaures-Hainant,806,Av_J_Jaures-Eugene_Jumin,Invalide,2005-01-01,2019-06-01,2.3900068353904986,48.88792955572938,Feature,"[[2.3892869728649964, 48.88774116766288], [2.3907266979160013, 48.888117943795876]]",LineString
4898,Av_Jean_Jaures,2023-03-09T16:00:00+00:00,690.0,9.67833,Fluide,2580,Jaures-Hainant,806,Av_J_Jaures-Eugene_Jumin,Invalide,2005-01-01,2019-06-01,2.3900068353904986,48.88792955572938,Feature,"[[2.3892869728649964, 48.88774116766288], [2.3907266979160013, 48.888117943795876]]",LineString
4898,Av_Jean_Jaures,2023-03-09T15:00:00+00:00,641.0,5.60334,Fluide,2580,Jaures-Hainant,806,Av_J_Jaures-Eugene_Jumin,Invalide,2005-01-01,2019-06-01,2.3900068353904986,48.88792955572938,Feature,"[[2.3892869728649964, 48.88774116766288], [2.3907266979160013, 48.888117943795876]]",LineString
4898,Av_Jean_Jaures,2023-03-09T14:00:00+00:00,760.0,10.78111,Fluide,2580,Jaures-Hainant,806,Av_J_Jaures-Eugene_Jumin,Invalide,2005-01-01,2019-06-01,2.3900068353904986,48.88792955572938,Feature,"[[2.3892869728649964, 48.88774116766288], [2.3907266979160013, 48.888117943795876]]",LineString
4898,Av_Jean_Jaures,2023-03-09T13:00:00+00:00,607.0,7.70889,Fluide,2580,Jaures-Hainant,806,Av_J_Jaures-Eugene_Jumin,Invalide,2005-01-01,2019-06-01,2.3900068353904986,48.88792955572938,Feature,"[[2.3892869728649964, 48.88774116766288], [2.3907266979160013, 48.888117943795876]]",LineString
4898,Av_Jean_Jaures,2023-03-09T12:00:00+00:00,687.0,22.09222,Pré-saturé,2580,Jaures-Hainant,806,Av_J_Jaures-Eugene_Jumin,Invalide,2005-01-01,2019-06-01,2.3900068353904986,48.88792955572938,Feature,"[[2.3892869728649964, 48.88774116766288], [2.3907266979160013, 48.888117943795876]]",LineString
4898,Av_Jean_Jaures,2023-03-09T11:00:00+00:00,678.0,11.73778,Fluide,2580,Jaures-Hainant,806,Av_J_Jaures-Eugene_Jumin,Invalide,2005-01-01,2019-06-01,2.3900068353904986,48.88792955572938,Feature,"[[2.3892869728649964, 48.88774116766288], [2.3907266979160013, 48.888117943795876]]",LineString
4898,Av_Jean_Jaures,2023-03-09T08:00:00+00:00,573.0,13.615,Fluide,2580,Jaures-Hainant,806,Av_J_Jaures-Eugene_Jumin,Invalide,2005-01-01,2019-06-01,2.3900068353904986,48.88792955572938,Feature,"[[2.3892869728649964, 48.88774116766288], [2.3907266979160013, 48.888117943795876]]",LineString
4898,Av_Jean_Jaures,2023-03-09T07:00:00+00:00,408.0,10.87111,Fluide,2580,Jaures-Hainant,806,Av_J_Jaures-Eugene_Jumin,Invalide,2005-01-01,2019-06-01,2.3900068353904986,48.88792955572938,Feature,"[[2.3892869728649964, 48.88774116766288], [2.3907266979160013, 48.888117943795876]]",LineString
