iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type
4251,Bd_Berthier,2023-02-01T23:00:00+00:00,,,Inconnu,2285,Bd_Berthier-Av_Villiers,3186,Bd_Berthier-Courcelles,Invalide,2005-01-01,2019-06-01,2.293418868209291,48.885417077474926,Feature,"[[2.293402308492599, 48.88536916668612], [2.2934354279259828, 48.88546498826373]]",LineString
4252,Courcelles,2023-02-01T23:00:00+00:00,,,Inconnu,2989,Pl_Marechal_Juin-Courcelles,3186,Bd_Berthier-Courcelles,Invalide,2005-01-01,2019-06-01,2.296462235828251,48.88589372949197,Feature,"[[2.296986881624953, 48.88536830590106], [2.295937590031549, 48.886419153082876]]",LineString
4252,Courcelles,2023-02-01T20:00:00+00:00,,,Inconnu,2989,Pl_Marechal_Juin-Courcelles,3186,Bd_Berthier-Courcelles,Invalide,2005-01-01,2019-06-01,2.296462235828251,48.88589372949197,Feature,"[[2.296986881624953, 48.88536830590106], [2.295937590031549, 48.886419153082876]]",LineString
4252,Courcelles,2023-02-01T19:00:00+00:00,,,Inconnu,2989,Pl_Marechal_Juin-Courcelles,3186,Bd_Berthier-Courcelles,Invalide,2005-01-01,2019-06-01,2.296462235828251,48.88589372949197,Feature,"[[2.296986881624953, 48.88536830590106], [2.295937590031549, 48.886419153082876]]",LineString
4252,Courcelles,2023-02-01T18:00:00+00:00,,,Inconnu,2989,Pl_Marechal_Juin-Courcelles,3186,Bd_Berthier-Courcelles,Invalide,2005-01-01,2019-06-01,2.296462235828251,48.88589372949197,Feature,"[[2.296986881624953, 48.88536830590106], [2.295937590031549, 48.886419153082876]]",LineString
6921,AI_Chatillon,2023-02-01T15:00:00+00:00,,,Inconnu,3576,AI_Chatillon-1,433,AI_Chatillon,Ouvert,2005-01-01,2019-06-01,2.312841041922371,48.82302575202944,Feature,"[[2.313583302519362, 48.822906936928234], [2.3120987813253797, 48.82314456713065]]",LineString
6922,AI_St_Cloud,2023-02-01T15:00:00+00:00,,,Inconnu,3577,AI_St_Cloud-1,2488,AI_St_Cloud,Ouvert,2005-01-01,2019-06-01,2.2542424603494937,48.83988497200895,Feature,"[[2.254359995370677, 48.83937093270391], [2.254295981904881, 48.83983304611385], [2.2540552440494857, 48.84037924612834]]",LineString
6923,AI_Auteuil_bretelle_7,2023-02-01T15:00:00+00:00,,,Inconnu,3578,AI_Auteuil-1,2464,AI_Auteuil,Ouvert,2005-01-01,2019-06-01,2.253044086543916,48.84886297838112,Feature,"[[2.253426606338466, 48.84851471218868], [2.2526615667493664, 48.84921124457355]]",LineString
6924,AI_Passy,2023-02-01T16:00:00+00:00,,,Inconnu,3579,AI_Passy-1,2444,AI_Passy,Ouvert,2005-01-01,2019-06-01,2.262554592050351,48.85898969003288,Feature,"[[2.262303837431214, 48.858693730863564], [2.2628053466694884, 48.85928564920219]]",LineString
6924,AI_Passy,2023-02-01T15:00:00+00:00,,,Inconnu,3579,AI_Passy-1,2444,AI_Passy,Ouvert,2005-01-01,2019-06-01,2.262554592050351,48.85898969003288,Feature,"[[2.262303837431214, 48.858693730863564], [2.2628053466694884, 48.85928564920219]]",LineString
